county,state,Crude Death Rate (2010-2013),Death Count (2010-2013),Crude Opioid Death Rate (2010-2013),Opioid Death Count (2010-2013),Crude Opioid Death Rate (2014-2017),Opioid Death Count (2014-2017),Crude Opioid Death Rate (2018-2021),Opioid Death Count (2018-2021),Number of Mental Health Facilities (As of March 2023)
Appling County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,2.0
Atkinson County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Bacon County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1.0
Baker County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Baldwin County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Banks County,Georgia,20.6*,10,Suppressed,Suppressed,,11,26.5*,13,0.0
Barrow County,Georgia,20.9,39,11.8,22,13,26,21.2,47,0.0
Bartow County,Georgia,25.6,69,14.5,39,19.3,53,29.6,85,1.0
Ben Hill County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Berrien County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,31.2*,15,0.0
Bibb County,Georgia,14.2,58,7.1,29,10.9,43,12.5,49,4.0
Bleckley County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Brantley County,Georgia,22.7*,11,Suppressed,Suppressed,,10,20.8*,10,1.0
Brooks County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1.0
Bryan County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,,11,20.5,22,0.0
Bulloch County,Georgia,10.4,22,Suppressed,Suppressed,Suppressed,Suppressed,5.2*,12,4.0
Burke County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1.0
Butts County,Georgia,23.4*,15,15.6*,10,,13,29.7,20,0.0
Calhoun County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Camden County,Georgia,14.4,20,8.6*,12,,12,25.2,36,1.0
Candler County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Carroll County,Georgia,25.2,76,14.9,45,20.9,65,26.2,84,5.0
Catoosa County,Georgia,27.1,46,19.4,33,20,34,20.9,36,0.0
Charlton County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Chatham County,Georgia,13.7,102,5.5,41,11.3,87,20.4,158,7.0
Chattahoochee County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Chattooga County,Georgia,20.6*,14,Suppressed,Suppressed,,10,19*,12,0.0
Cherokee County,Georgia,17.6,104,10.3,61,20,127,20.2,140,2.0
Clarke County,Georgia,11.9,43,6.6,24,9.7,36,14.3,54,2.0
Clay County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Clayton County,Georgia,12.1,87,7.9,57,8.8,66,10.8,85,3.0
Clinch County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1.0
Cobb County,Georgia,15.5,303,3.2,63,16.6,340,18.1,376,7.0
Coffee County,Georgia,19.9,23,15.6*,18,,17,Suppressed,Suppressed,2.0
Colquitt County,Georgia,18.9,22,Suppressed,Suppressed,Suppressed,Suppressed,12.2*,14,0.0
Columbia County,Georgia,14.6,51,7.1,25,14.5,56,18,74,0.0
Cook County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1.0
Coweta County,Georgia,13.2,46,8,28,14.1,52,15.5,61,3.0
Crawford County,Georgia,29.4*,10,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Crisp County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1.0
Dade County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,36.2*,15,1.0
Dawson County,Georgia,25.3*,15,Suppressed,Suppressed,,15,23.7*,16,1.0
Decatur County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1.0
DeKalb County,Georgia,8.7,172,4.3,86,8.3,169,14.6,300,19.0
Dodge County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,18.7*,10,1.0
Dooly County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Dougherty County,Georgia,8.1,20,4.4*,11,,13,16.5,37,1.0
Douglas County,Georgia,13.5,49,8.5,31,18.8,72,17.8,70,2.0
Early County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1.0
Echols County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Effingham County,Georgia,16.8,24,9.8*,14,,14,16.9,29,1.0
Elbert County,Georgia,23.8*,12,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1.0
Emanuel County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1.0
Evans County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Fannin County,Georgia,44.7,26,25.8*,15,,10,22*,13,0.0
Fayette County,Georgia,10.5,30,7,20,12.8,37,14.3,42,3.0
Floyd County,Georgia,24.7,62,13.6,34,9.2,23,23,58,1.0
Forsyth County,Georgia,15.6,75,10.4,50,14.2,80,11.4,75,1.0
Franklin County,Georgia,37.4,21,24.9*,14,,11,30.6*,18,0.0
Fulton County,Georgia,14.4,391,8.1,219,13.5,385,15.3,458,12.0
Gilmer County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,,18,27,20,0.0
Glascock County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Glynn County,Georgia,20.8,43,4.8*,10,12.4,26,25.8,54,3.0
Gordon County,Georgia,20.5,30,10.9*,16,,17,11.2*,17,0.0
Grady County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1.0
Greene County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1.0
Gwinnett County,Georgia,8.9,204,5.7,130,9.6,237,13.8,352,10.0
Habersham County,Georgia,18,20,10.8*,12,Suppressed,Suppressed,23.3,27,1.0
Hall County,Georgia,19.9,95,9.6,46,11.4,57,17.4,92,4.0
Hancock County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Haralson County,Georgia,39.3,29,24.4*,18,32.3,24,24.7*,19,1.0
Harris County,Georgia,15*,13,Suppressed,Suppressed,Suppressed,Suppressed,20*,18,0.0
Hart County,Georgia,20.4*,13,Suppressed,Suppressed,Suppressed,Suppressed,17.2*,11,1.0
Heard County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1.0
Henry County,Georgia,16.6,94,6,34,12.2,73,14.3,92,2.0
Houston County,Georgia,11.8,46,2.8*,11,,17,9.5,40,1.0
Irwin County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Jackson County,Georgia,28.9,46,17.6,28,20.4,34,19.6,38,1.0
Jasper County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Jeff Davis County,Georgia,52.3,20,26.1*,10,Suppressed,Suppressed,Suppressed,Suppressed,1.0
Jefferson County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Jenkins County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Johnson County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Jones County,Georgia,18.7*,14,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Lamar County,Georgia,20.4*,10,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1.0
Lanier County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Laurens County,Georgia,15.4*,19,8.1*,10,,11,16.9,20,2.0
Lee County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Liberty County,Georgia,9.7*,17,Suppressed,Suppressed,,11,13.3,22,2.0
Lincoln County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Long County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Lowndes County,Georgia,8,25,5.5*,17,,11,9.2,29,2.0
Lumpkin County,Georgia,20.1*,17,13*,11,,16,26.2,24,1.0
McDuffie County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,26.8*,14,0.0
McIntosh County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,31.2*,10,0.0
Macon County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Madison County,Georgia,25.6*,19,21.5*,16,,18,30,23,1.0
Marion County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Meriwether County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,19.3*,10,1.0
