GEOID,NAME,ACS Total Population (2009-2013),Percent of Population Under 15 (2009-2013),Percent of Population Aged 15 to 64 (2009-2013),Percent of Population 65+ (2009-2013),Percent of Population White (non-Hispanic) (2009-2013),Percent of Populaiton Black (non-Hispanic) (2009-2013),Percent of Population Hispanic or Latino (2009-2013),Percent of Population Asian (non-Hispanic) (2009-2013),Percent of Population Native American/Alaska Native (non-Hispanic) (2009-2013),Percent of Population Native Hawaiian/Pacific Islander (2009-2013),Percent of Population Aged 25+ who Have at Least a High School Diploma (2009-2013),Percent of Population Aged 25+ who Have a Bachelor's Degree or More (2009-2013),Poverty Rate (2009-2013),Median Household Income (2009-2013),Unemployment Rate (2009-2013),Percent of Residents with a Disability (Aged 18-64) (2009-2013),ACS Total Population (2013-2017),Percent of Population Under 15 (2013-2017),Percent of Population Aged 15 to 64 (2013-2017),Percent of Population 65+ (2013-2017),Percent of Population White (non-Hispanic) (2013-2017),Percent of Populaiton Black (non-Hispanic) (2013-2017),Percent of Population Hispanic or Latino (2013-2017),Percent of Population Asian (non-Hispanic) (2013-2017),Percent of Population Native American/Alaska Native (non-Hispanic) (2013-2017),Percent of Population Native Hawaiian/Pacific Islander (2013-2017),Percent of Population Aged 25+ who Have at Least a High School Diploma (2013-2017),Percent of Population Aged 25+ who Have a Bachelor's Degree or More (2013-2017),Poverty Rate (2013-2017),Median Household Income (2013-2017),Unemployment Rate (2013-2017),Percent of Residents with a Disability (Aged 18-64) (2013-2017),ACS Total Population (2017-2021),Percent of Population Under 15 (2017-2021),Percent of Population Aged 15 to 64 (2017-2021),Percent of Population 65+ (2017-2021),Percent of Population White (non-Hispanic) (2017-2021),Percent of Populaiton Black (non-Hispanic) (2017-2021),Percent of Population Hispanic or Latino (2017-2021),Percent of Population Asian (non-Hispanic) (2017-2021),Percent of Population Native American/Alaska Native (non-Hispanic) (2017-2021),Percent of Population Native Hawaiian/Pacific Islander (2017-2021),Percent of Population Aged 25+ who Have at Least a High School Diploma (2017-2021),Percent of Population Aged 25+ who Have a Bachelor's Degree or More (2017-2021),Poverty Rate (2017-2021),Median Household Income (2017-2021),Unemployment Rate (2017-2021),Percent of Residents with a Disability (Aged 18-64) (2017-2021),% of households with broadband internet connection (2017-2021),Percent of Popualtion Employed in Mining and Natural Resources (2009-2013),Percent of Popualtion Employed in Construction (2009-2013),Percent of Popualtion Employed in Manufacturing (2009-2013),Percent of Popualtion Employed in Trade Transportation and Utilities (2009-2013),Percent of Popualtion Employed in Mining and Natural Resources (2013-2017),Percent of Popualtion Employed in Construction (2013-2017),Percent of Popualtion Employed in Manufacturing (2013-2017),Percent of Popualtion Employed in Trade Transportation and Utilities (2013-2017),Percent of Popualtion Employed in Mining and Natural Resources (2017-2021),Percent of Popualtion Employed in Construction (2017-2021),Percent of Popualtion Employed in Manufacturing (2017-2021),Percent of Popualtion Employed in Trade Transporation and Utilities (2017-2021),Crude Death Rate (2010-2013),Death Count (2010-2013),Crude Death Rate (2014-2017),Death Count (2014-2017),Crude Death Rate (2018-2021),Death Count (2018-2021),Crude Opioid Death Rate (2010-2013),Opioid Death Count (2010-2013),Crude Opioid Death Rate (2014-2017),Opioid Death Count (2014-2017),Crude Opioid Death Rate (2018-2021),Opioid Death Count (2018-2021),Number of Substance Use Facilities (As of March 2023),TotActiveMDs,Number of Mental Health Facilities (As of March 2023),MDsPerCapita,Urbanicity,Social Resilience Score,Economic Risk Score,Social Risk Score,Economic Resilience Score,Prosperity Index Score,county,state
1,Alabama,4799277,0.1934,0.6647,0.1418,0.6679,0.2616,0.0392,0.0118,0.0048,0.0003,0.8311,0.2263,0.1859,43253,0.1078,0.1457,4841164.0,0.1885,0.6582,0.1534,0.6619,0.2635,0.04,0.0124,0.0045,0.0003,0.8479,0.2401,0.184,44758.0,0.0829,0.1447,4997675.0,0.1855,0.6455,0.169,0.6485,0.2634,0.045,0.0139,0.0035,0.0003,0.874,0.2667,0.1579,54943.0,0.0541,0.1414,0.8205,0.0108,0.0458,0.1329,0.198,0.0098,0.0434,0.1358,0.197,0.0092,0.0466,0.1354,0.1946,16.7,2136,22.8,2903,29.8,3781,5.3,672,10.1,1283,18.2,2304,130.0,399.0,103.0,8.24,,,,,,,,Alabama
1001,"Autauga County, Alabama",54907,0.2148,0.6588,0.1265,0.7648,0.1822,0.0249,0.0096,0.0025,0.0,0.8559,0.2093,0.1213,53682,0.0939,0.1462,55049.0,0.204,0.6562,0.1398,0.7568,0.1837,0.0257,0.0081,0.0041,0.0001,0.8758,0.2459,0.1227,53099.0,0.0559,0.1655,58239.0,0.1895,0.6591,0.1514,0.731,0.1968,0.0305,0.0111,0.0017,0.0,0.8958,0.2813,0.1358,62660.0,0.0282,0.1485,0.8546,0.018,0.0407,0.1068,0.2254,0.0182,0.04,0.1325,0.2027,0.0165,0.0441,0.141,0.1967,12.4*,18,13.1*,19,14.9,22,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0,2.0,0.0,3.63,Urban,4.0,2.0,2.0,5.0,3.0,Autauga County,Alabama
1003,"Baldwin County, Alabama",187114,0.1882,0.6389,0.1729,0.8339,0.0943,0.0445,0.0071,0.0059,0.0,0.8908,0.2775,0.1394,50221,0.0922,0.1121,199510.0,0.183,0.6298,0.1871,0.8318,0.0923,0.0437,0.0066,0.0062,0.0,0.9003,0.2955,0.1299,51365.0,0.0629,0.1089,227131.0,0.1769,0.6171,0.2061,0.8257,0.0869,0.0468,0.0096,0.0047,0.0,0.9101,0.3245,0.092,64346.0,0.0369,0.1086,0.8786,0.0107,0.0497,0.0635,0.2492,0.0111,0.0492,0.0593,0.2465,0.0109,0.0575,0.0549,0.2369,19.9,96,24.8,128,34.2,191,7.7,37,13.4,69,22.9,128,3.0,15.0,1.0,7.52,Urban,3.0,1.0,2.0,2.0,2.0,Baldwin County,Alabama
1005,"Barbour County, Alabama",27321,0.1793,0.6705,0.1502,0.4631,0.4631,0.049,0.0019,0.002,0.0,0.7366,0.134,0.2666,32911,0.143,0.1856,26614.0,0.1794,0.6553,0.1653,0.4589,0.4789,0.0431,0.0044,0.0017,0.0,0.7376,0.1287,0.2637,33956.0,0.1282,0.1804,25259.0,0.1719,0.638,0.1901,0.4461,0.4725,0.0466,0.0042,0.0028,0.0,0.7567,0.1115,0.2647,36422.0,0.0862,0.1495,0.6461,0.0327,0.0189,0.3215,0.1856,0.0441,0.0179,0.2804,0.1978,0.0383,0.0186,0.2922,0.1767,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1.0,0.0,1.0,0.0,Rural,5.0,5.0,3.0,4.0,5.0,Barbour County,Alabama
1007,"Bibb County, Alabama",22754,0.1811,0.6831,0.1358,0.7486,0.2166,0.0195,0.0011,0.0046,0.0,0.7745,0.1207,0.1814,36447,0.1221,0.1667,22572.0,0.1702,0.6809,0.1489,0.7477,0.2121,0.0222,0.0006,0.0036,0.0,0.807,0.12,0.1645,39776.0,0.0715,0.1385,22412.0,0.1651,0.6745,0.1604,0.7405,0.2189,0.0283,0.0021,0.0009,0.0,0.8054,0.1191,0.1694,54277.0,0.0971,0.2191,0.746,0.0335,0.1509,0.0907,0.1717,0.0274,0.1752,0.0879,0.1756,0.017,0.1516,0.1165,0.2038,Suppressed,Suppressed,32.7,20,36.9,22,Suppressed,Suppressed,Suppressed,Suppressed,16.8*,10,0.0,2.0,0.0,8.86,Urban,4.0,4.0,4.0,3.0,4.0,Bibb County,Alabama
1009,"Blount County, Alabama",57623,0.1996,0.6477,0.1528,0.8842,0.0135,0.0833,0.001,0.0018,0.0,0.7699,0.1209,0.1581,44145,0.0974,0.1569,57704.0,0.1942,0.6339,0.1719,0.8766,0.0156,0.0873,0.0016,0.003,0.0,0.8003,0.1305,0.1653,46212.0,0.0595,0.1317,58884.0,0.1909,0.6294,0.1797,0.8592,0.0127,0.0953,0.0037,0.0012,0.0013,0.8365,0.149,0.1324,52830.0,0.0602,0.15,0.8096,0.0114,0.044,0.1669,0.1999,0.0086,0.0493,0.1499,0.2069,0.0092,0.0646,0.1528,0.1976,30.2,45,35.5,52,30.3,44,20.8,31,25.3,37,15.8,23,1.0,0.0,1.0,0.0,Urban,5.0,2.0,3.0,5.0,4.0,Blount County,Alabama
1011,"Bullock County, Alabama",10746,0.1819,0.6781,0.14,0.2224,0.7085,0.0569,0.0006,0.0004,0.003,0.6776,0.1249,0.2159,32033,0.1498,0.1594,10552.0,0.1799,0.6688,0.1513,0.2168,0.755,0.0012,0.008,0.008,0.0,0.6656,0.1026,0.2687,29335.0,0.1326,0.1593,10386.0,0.1987,0.6393,0.1619,0.2037,0.6898,0.0855,0.0044,0.0,0.0,0.7761,0.1169,0.3093,29063.0,0.03,0.1332,0.5943,0.111,0.0,0.0,0.0948,0.0578,0.0,0.107,0.0891,0.0184,0.0,0.211,0.0973,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0,0.0,0.0,0.0,Rural,5.0,5.0,3.0,5.0,5.0,Bullock County,Alabama
1013,"Butler County, Alabama",20624,0.1984,0.6297,0.1719,0.5388,0.4375,0.0107,0.0051,0.0012,0.0,0.763,0.14,0.2844,29918,0.1482,0.1903,20280.0,0.1921,0.6267,0.1813,0.5278,0.4352,0.0125,0.01,0.0007,0.0,0.8106,0.1608,0.2566,34315.0,0.098,0.1757,19181.0,0.1892,0.6026,0.2081,0.5092,0.4479,0.0161,0.0146,0.0025,0.0,0.8556,0.1404,0.1818,45236.0,0.0655,0.1387,0.7634,0.0338,0.0256,0.1698,0.2225,0.0295,0.0294,0.196,0.2171,0.0289,0.0314,0.2036,0.2129,Suppressed,Suppressed,Suppressed,Suppressed,21.3*,10,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0,0.0,4.0,0.0,Rural,4.0,3.0,4.0,4.0,4.0,Butler County,Alabama
1015,"Calhoun County, Alabama",117714,0.1885,0.6626,0.1489,0.7349,0.2057,0.0336,0.0073,0.0027,0.0002,0.7861,0.1607,0.2186,39962,0.142,0.174,115883.0,0.1813,0.6594,0.1593,0.73,0.2033,0.0344,0.0093,0.002,0.0001,0.8234,0.1765,0.1964,41954.0,0.1168,0.1889,116425.0,0.1788,0.6444,0.1768,0.7135,0.2104,0.0399,0.0075,0.0016,0.0016,0.8521,0.1953,0.1754,50977.0,0.0701,0.187,0.8157,0.0035,0.0198,0.1278,0.1939,0.0039,0.0182,0.1366,0.1942,0.0049,0.0222,0.1482,0.1986,15.1,47,27.5,83,31.7,93,Suppressed,Suppressed,Suppressed,Suppressed,12.3,36,3.0,11.0,3.0,9.49,Urban,4.0,3.0,3.0,4.0,4.0,Calhoun County,Alabama
1017,"Chambers County, Alabama",34145,0.1803,0.6483,0.1714,0.5795,0.4022,0.0051,0.0054,0.0009,0.0004,0.7514,0.118,0.2411,32402,0.1718,0.1839,34018.0,0.1758,0.6403,0.1839,0.5674,0.4048,0.0044,0.0092,0.0023,0.0,0.8026,0.1248,0.2031,36027.0,0.0749,0.1539,34834.0,0.1735,0.6305,0.196,0.5482,0.4008,0.0272,0.0103,0.0019,0.0001,0.8278,0.1365,0.1507,47232.0,0.0315,0.1737,0.7713,0.0218,0.0275,0.1568,0.1912,0.0243,0.0255,0.2115,0.1834,0.0236,0.0293,0.2481,0.1715,19.2*,17,Suppressed,Suppressed,21.4*,18,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0,1.0,0.0,2.94,Rural,5.0,3.0,4.0,5.0,4.0,Chambers County,Alabama
